id,city,state,city_size,mode,n,percent,moe,state_abb,state_region
896,New Bedford city,Massachusetts,Small,Bike,119.0,0.3,0.2,MA,Northeast
897,New Berlin city,Wisconsin,Small,Bike,70.0,0.3,0.3,WI,North Central
898,New Bern city,North Carolina,Small,Bike,18.0,0.2,0.2,NC,South
899,New Braunfels city,Texas,Small,Bike,56.0,0.2,0.2,TX,South
900,New Brighton city,Minnesota,Small,Bike,36.0,0.3,0.3,MN,North Central
901,New Britain city,Connecticut,Small,Bike,54.0,0.2,0.2,CT,Northeast
902,New Brunswick city,New Jersey,Small,Bike,240.0,1.0,0.4,NJ,Northeast
903,New Castle city,Pennsylvania,Small,Bike,68.0,0.8,0.9,PA,Northeast
904,New Hope city,Minnesota,Small,Bike,61.0,0.6,0.4,MN,North Central
905,New Iberia city,Louisiana,Small,Bike,48.0,0.4,0.4,LA,South
906,New Lenox village,Illinois,Small,Bike,12.0,0.1,0.2,IL,North Central
907,New London city,Connecticut,Small,Bike,16.0,0.1,0.1,CT,Northeast
908,New Rochelle city,New York,Small,Bike,30.0,0.1,0.1,NY,Northeast
909,New Smyrna Beach city,Florida,Small,Bike,44.0,0.5,0.5,FL,South
910,Newark city,California,Small,Bike,79.0,0.4,0.3,CA,West
911,Newark city,Delaware,Small,Bike,328.0,2.4,0.7,DE,South
912,Newark city,Ohio,Small,Bike,134.0,0.6,0.4,OH,North Central
913,Newberg city,Oregon,Small,Bike,173.0,1.6,1.0,OR,West
914,Newburgh city,New York,Small,Bike,67.0,0.6,0.7,NY,Northeast
915,Newnan city,Georgia,Small,Bike,16.0,0.1,0.2,GA,South
916,Newport Beach city,California,Small,Bike,378.0,0.9,0.4,CA,West
917,Newport city,Rhode Island,Small,Bike,333.0,2.4,1.1,RI,Northeast
918,Newton city,Massachusetts,Small,Bike,470.0,1.1,0.3,MA,Northeast
919,Niagara Falls city,New York,Small,Bike,72.0,0.3,0.2,NY,Northeast
920,Nicholasville city,Kentucky,Small,Bike,0.0,0.0,0.3,KY,South
921,Niles village,Illinois,Small,Bike,116.0,0.9,0.8,IL,North Central
922,Noblesville city,Indiana,Small,Bike,26.0,0.1,0.1,IN,North Central
923,Nogales city,Arizona,Small,Bike,8.0,0.1,0.2,AZ,West
924,Norco city,California,Small,Bike,14.0,0.1,0.2,CA,West
925,Norfolk city,Nebraska,Small,Bike,55.0,0.5,0.4,NE,North Central
926,Normal town,Illinois,Small,Bike,317.0,1.2,0.4,IL,North Central
927,Norristown borough,Pennsylvania,Small,Bike,182.0,1.1,0.8,PA,Northeast
928,North Augusta city,South Carolina,Small,Bike,24.0,0.3,0.3,SC,South
929,North Chicago city,Illinois,Small,Bike,9.0,0.1,0.1,IL,North Central
930,North Lauderdale city,Florida,Small,Bike,98.0,0.5,0.5,FL,South
931,North Little Rock city,Arkansas,Small,Bike,38.0,0.1,0.2,AR,South
932,North Miami Beach city,Florida,Small,Bike,103.0,0.5,0.4,FL,South
933,North Miami city,Florida,Small,Bike,0.0,0.0,0.2,FL,South
934,North Olmsted city,Ohio,Small,Bike,20.0,0.1,0.1,OH,North Central
935,North Plainfield borough,New Jersey,Small,Bike,136.0,1.1,0.9,NJ,Northeast
936,North Platte city,Nebraska,Small,Bike,37.0,0.3,0.3,NE,North Central
937,North Port city,Florida,Small,Bike,139.0,0.6,0.2,FL,South
938,North Richland Hills city,Texas,Small,Bike,42.0,0.1,0.1,TX,South
939,North Ridgeville city,Ohio,Small,Bike,17.0,0.1,0.2,OH,North Central
940,North Royalton city,Ohio,Small,Bike,42.0,0.3,0.2,OH,North Central
941,North Tonawanda city,New York,Small,Bike,28.0,0.2,0.2,NY,Northeast
942,Northampton city,Massachusetts,Small,Bike,473.0,3.1,0.9,MA,Northeast
943,Northbrook village,Illinois,Small,Bike,27.0,0.2,0.2,IL,North Central
944,Northfield city,Minnesota,Small,Bike,212.0,1.9,0.7,MN,North Central
945,Northglenn city,Colorado,Small,Bike,48.0,0.3,0.3,CO,West
946,Northport city,Alabama,Small,Bike,6.0,0.1,0.1,AL,South
947,Norton Shores city,Michigan,Small,Bike,62.0,0.6,0.5,MI,North Central
948,Norwalk city,Connecticut,Small,Bike,81.0,0.2,0.1,CT,Northeast
949,Norwich city,Connecticut,Small,Bike,6.0,0.0,0.1,CT,Northeast
950,Novato city,California,Small,Bike,133.0,0.5,0.4,CA,West
951,Novi city,Michigan,Small,Bike,100.0,0.4,0.3,MI,North Central
952,Oak Creek city,Wisconsin,Small,Bike,12.0,0.1,0.1,WI,North Central
953,Oak Forest city,Illinois,Small,Bike,0.0,0.0,0.2,IL,North Central
954,Oak Harbor city,Washington,Small,Bike,12.0,0.1,0.2,WA,West
955,Oak Lawn village,Illinois,Small,Bike,37.0,0.1,0.1,IL,North Central
956,Oak Park city,Michigan,Small,Bike,47.0,0.4,0.4,MI,North Central
957,Oak Park village,Illinois,Small,Bike,462.0,1.7,0.6,IL,North Central
958,Oak Ridge city,Tennessee,Small,Bike,13.0,0.1,0.1,TN,South
959,Oakdale city,California,Small,Bike,81.0,1.0,0.7,CA,West
960,Oakdale city,Minnesota,Small,Bike,43.0,0.3,0.2,MN,North Central
961,Oakland Park city,Florida,Small,Bike,166.0,0.8,0.5,FL,South
962,Oakley city,California,Small,Bike,90.0,0.6,0.4,CA,West
963,Ocala city,Florida,Small,Bike,210.0,1.0,0.5,FL,South
964,Ocoee city,Florida,Small,Bike,0.0,0.0,0.2,FL,South
965,O'Fallon city,Illinois,Small,Bike,20.0,0.1,0.2,IL,North Central
966,O'Fallon city,Missouri,Small,Bike,41.0,0.1,0.1,MO,North Central
967,Ogden city,Utah,Small,Bike,223.0,0.6,0.3,UT,West
968,Olive Branch city,Mississippi,Small,Bike,0.0,0.0,0.2,MS,South
969,Olympia city,Washington,Small,Bike,950.0,4.1,1.2,WA,West
970,Opelika city,Alabama,Small,Bike,24.0,0.2,0.1,AL,South
971,Oregon City city,Oregon,Small,Bike,52.0,0.4,0.3,OR,West
972,Oregon city,Ohio,Small,Bike,0.0,0.0,0.3,OH,North Central
973,Orem city,Utah,Small,Bike,539.0,1.3,0.4,UT,West
974,Orland Park village,Illinois,Small,Bike,42.0,0.2,0.1,IL,North Central
975,Ormond Beach city,Florida,Small,Bike,161.0,1.0,0.5,FL,South
976,Oro Valley town,Arizona,Small,Bike,62.0,0.4,0.3,AZ,West
977,Oshkosh city,Wisconsin,Small,Bike,380.0,1.2,0.5,WI,North Central
978,Ossining village,New York,Small,Bike,7.0,0.1,0.1,NY,Northeast
979,Oswego village,Illinois,Small,Bike,13.0,0.1,0.1,IL,North Central
980,Ottumwa city,Iowa,Small,Bike,75.0,0.7,0.6,IA,North Central
981,Oviedo city,Florida,Small,Bike,39.0,0.2,0.3,FL,South
982,Owasso city,Oklahoma,Small,Bike,43.0,0.3,0.3,OK,South
983,Owatonna city,Minnesota,Small,Bike,90.0,0.7,0.5,MN,North Central
984,Owensboro city,Kentucky,Small,Bike,144.0,0.6,0.3,KY,South
985,Oxford city,Alabama,Small,Bike,4.0,0.0,0.1,AL,South
986,Oxford city,Mississippi,Small,Bike,108.0,1.3,1.0,MS,South
987,Oxford city,Ohio,Small,Bike,158.0,1.8,1.0,OH,North Central
988,Pacifica city,California,Small,Bike,22.0,0.1,0.1,CA,West
989,Paducah city,Kentucky,Small,Bike,41.0,0.4,0.4,KY,South
990,Palatine village,Illinois,Small,Bike,124.0,0.3,0.3,IL,North Central
991,Palm Beach Gardens city,Florida,Small,Bike,68.0,0.3,0.2,FL,South
992,Palm Coast city,Florida,Small,Bike,57.0,0.2,0.2,FL,South
993,Palm Desert city,California,Small,Bike,105.0,0.6,0.4,CA,West
994,Palm Springs city,California,Small,Bike,179.0,0.9,0.5,CA,West
995,Palm Springs village,Florida,Small,Bike,8.0,0.1,0.1,FL,South
996,Palmetto Bay village,Florida,Small,Bike,32.0,0.3,0.3,FL,South
997,Palo Alto city,California,Small,Bike,2562.0,8.5,1.1,CA,West
998,Panama City city,Florida,Small,Bike,213.0,1.3,0.8,FL,South
999,Papillion city,Nebraska,Small,Bike,14.0,0.1,0.2,NE,North Central
1000,Paradise town,California,Small,Bike,92.0,1.0,1.0,CA,West
1001,Paragould city,Arkansas,Small,Bike,0.0,0.0,0.3,AR,South
1002,Paramount city,California,Small,Bike,173.0,0.8,0.4,CA,West
1003,Paramus borough,New Jersey,Small,Bike,0.0,0.0,0.3,NJ,Northeast
1004,Paris city,Texas,Small,Bike,79.0,0.8,0.7,TX,South
1005,Park Forest village,Illinois,Small,Bike,23.0,0.2,0.3,IL,North Central
1006,Park Ridge city,Illinois,Small,Bike,30.0,0.2,0.2,IL,North Central
1007,Parker town,Colorado,Small,Bike,40.0,0.2,0.2,CO,West
1008,Parkersburg city,West Virginia,Small,Bike,59.0,0.5,0.4,WV,South
1009,Parkland city,Florida,Small,Bike,0.0,0.0,0.4,FL,South
1010,Parma city,Ohio,Small,Bike,0.0,0.0,0.1,OH,North Central
1011,Parma Heights city,Ohio,Small,Bike,10.0,0.1,0.2,OH,North Central
1012,Pascagoula city,Mississippi,Small,Bike,47.0,0.5,0.5,MS,South
1013,Pasco city,Washington,Small,Bike,0.0,0.0,0.1,WA,West
1014,Passaic city,New Jersey,Small,Bike,234.0,0.9,0.6,NJ,Northeast
1015,Patterson city,California,Small,Bike,98.0,1.3,1.2,CA,West
1016,Pawtucket city,Rhode Island,Small,Bike,208.0,0.6,0.3,RI,Northeast
1017,Peabody city,Massachusetts,Small,Bike,71.0,0.3,0.2,MA,Northeast
1018,Peachtree City city,Georgia,Small,Bike,41.0,0.3,0.3,GA,South
1019,Pearl city,Mississippi,Small,Bike,12.0,0.1,0.2,MS,South
1020,Pearland city,Texas,Small,Bike,0.0,0.0,0.1,TX,South
1021,Peekskill city,New York,Small,Bike,31.0,0.3,0.4,NY,Northeast
1022,Pekin city,Illinois,Small,Bike,54.0,0.4,0.3,IL,North Central
1023,Pelham city,Alabama,Small,Bike,0.0,0.0,0.3,AL,South
1024,Pensacola city,Florida,Small,Bike,227.0,0.9,0.5,FL,South
1025,Perris city,California,Small,Bike,20.0,0.1,0.1,CA,West
1026,Perrysburg city,Ohio,Small,Bike,8.0,0.1,0.1,OH,North Central
1027,Perth Amboy city,New Jersey,Small,Bike,33.0,0.2,0.2,NJ,Northeast
1028,Petaluma city,California,Small,Bike,437.0,1.5,0.5,CA,West
1029,Petersburg city,Virginia,Small,Bike,32.0,0.3,0.3,VA,South
1030,Pflugerville city,Texas,Small,Bike,40.0,0.2,0.3,TX,South
1031,Pharr city,Texas,Small,Bike,35.0,0.2,0.2,TX,South
1032,Phenix City city,Alabama,Small,Bike,54.0,0.4,0.4,AL,South
1033,Pico Rivera city,California,Small,Bike,255.0,1.0,0.4,CA,West
1034,Pine Bluff city,Arkansas,Small,Bike,28.0,0.2,0.1,AR,South
1035,Pinellas Park city,Florida,Small,Bike,165.0,0.8,0.5,FL,South
1036,Piqua city,Ohio,Small,Bike,27.0,0.3,0.3,OH,North Central
1037,Pittsburg city,California,Small,Bike,52.0,0.2,0.2,CA,West
1038,Pittsburg city,Kansas,Small,Bike,133.0,1.5,0.7,KS,North Central
1039,Pittsfield city,Massachusetts,Small,Bike,185.0,0.9,0.4,MA,Northeast
1040,Placentia city,California,Small,Bike,274.0,1.2,0.5,CA,West
1041,Plainfield city,New Jersey,Small,Bike,288.0,1.1,0.5,NJ,Northeast
1042,Plainfield town,Indiana,Small,Bike,9.0,0.1,0.1,IN,North Central
1043,Plainfield village,Illinois,Small,Bike,0.0,0.0,0.2,IL,North Central
1044,Plainview city,Texas,Small,Bike,14.0,0.2,0.2,TX,South
1045,Plant City city,Florida,Small,Bike,112.0,0.7,0.4,FL,South
1046,Plantation city,Florida,Small,Bike,65.0,0.1,0.1,FL,South
1047,Pleasant Grove city,Utah,Small,Bike,22.0,0.2,0.2,UT,West
1048,Pleasant Hill city,California,Small,Bike,119.0,0.7,0.5,CA,West
1049,Pleasant Prairie village,Wisconsin,Small,Bike,0.0,0.0,0.2,WI,North Central
1050,Pleasanton city,California,Small,Bike,277.0,0.8,0.4,CA,West
1051,Pleasantville city,New Jersey,Small,Bike,18.0,0.2,0.3,NJ,Northeast
1052,Plum borough,Pennsylvania,Small,Bike,0.0,0.0,0.2,PA,Northeast
1053,Plymouth city,Minnesota,Small,Bike,197.0,0.5,0.3,MN,North Central
1054,Pocatello city,Idaho,Small,Bike,362.0,1.4,0.5,ID,West
1055,Ponca City city,Oklahoma,Small,Bike,6.0,0.1,0.1,OK,South
1056,Pontiac city,Michigan,Small,Bike,31.0,0.1,0.2,MI,North Central
1057,Pooler city,Georgia,Small,Bike,47.0,0.5,0.6,GA,South
1058,Port Arthur city,Texas,Small,Bike,126.0,0.6,0.4,TX,South
1059,Port Chester village,New York,Small,Bike,53.0,0.3,0.4,NY,Northeast
1060,Port Hueneme city,California,Small,Bike,112.0,1.2,0.9,CA,West
1061,Port Huron city,Michigan,Small,Bike,218.0,1.9,1.1,MI,North Central
1062,Port Orange city,Florida,Small,Bike,67.0,0.3,0.3,FL,South
1063,Portage city,Indiana,Small,Bike,27.0,0.2,0.3,IN,North Central
1064,Portage city,Michigan,Small,Bike,37.0,0.2,0.1,MI,North Central
1065,Porterville city,California,Small,Bike,231.0,1.2,0.7,CA,West
1066,Portland city,Maine,Small,Bike,660.0,1.8,0.6,ME,Northeast
1067,Portsmouth city,New Hampshire,Small,Bike,199.0,1.6,0.9,NH,Northeast
1068,Portsmouth city,Ohio,Small,Bike,21.0,0.3,0.4,OH,North Central
1069,Portsmouth city,Virginia,Small,Bike,269.0,0.6,0.2,VA,South
1070,Post Falls city,Idaho,Small,Bike,58.0,0.5,0.6,ID,West
1071,Pottstown borough,Pennsylvania,Small,Bike,55.0,0.5,0.4,PA,Northeast
1072,Poughkeepsie city,New York,Small,Bike,107.0,0.8,0.5,NY,Northeast
1073,Poway city,California,Small,Bike,180.0,0.8,0.5,CA,West
1074,Prairie Village city,Kansas,Small,Bike,40.0,0.3,0.3,KS,North Central
1075,Prattville city,Alabama,Small,Bike,0.0,0.0,0.2,AL,South
1076,Prescott city,Arizona,Small,Bike,200.0,1.4,0.9,AZ,West
1077,Prescott Valley town,Arizona,Small,Bike,131.0,0.8,0.8,AZ,West
1078,Prichard city,Alabama,Small,Bike,10.0,0.1,0.2,AL,South
1079,Prior Lake city,Minnesota,Small,Bike,10.0,0.1,0.1,MN,North Central
1080,Pullman city,Washington,Small,Bike,321.0,2.4,1.0,WA,West
1081,Puyallup city,Washington,Small,Bike,94.0,0.5,0.4,WA,West
1082,Queen Creek town,Arizona,Small,Bike,0.0,0.0,0.3,AZ,West
1083,Quincy city,Illinois,Small,Bike,31.0,0.2,0.2,IL,North Central
1084,Quincy city,Massachusetts,Small,Bike,70.0,0.1,0.1,MA,Northeast
1085,Racine city,Wisconsin,Small,Bike,89.0,0.3,0.3,WI,North Central
1086,Radcliff city,Kentucky,Small,Bike,7.0,0.1,0.1,KY,South
1087,Rahway city,New Jersey,Small,Bike,13.0,0.1,0.1,NJ,Northeast
1088,Ramsey city,Minnesota,Small,Bike,17.0,0.1,0.2,MN,North Central
1089,Rancho Cordova city,California,Small,Bike,229.0,0.8,0.4,CA,West
1090,Rancho Palos Verdes city,California,Small,Bike,24.0,0.1,0.2,CA,West
1091,Rancho Santa Margarita city,California,Small,Bike,47.0,0.2,0.2,CA,West
1092,Rapid City city,South Dakota,Small,Bike,225.0,0.7,0.3,SD,North Central
1093,Raytown city,Missouri,Small,Bike,0.0,0.0,0.2,MO,North Central
1094,Reading city,Pennsylvania,Small,Bike,186.0,0.6,0.3,PA,Northeast
1095,Redding city,California,Small,Bike,349.0,1.0,0.4,CA,West
1096,Redlands city,California,Small,Bike,426.0,1.4,0.7,CA,West
1097,Redmond city,Oregon,Small,Bike,64.0,0.6,0.6,OR,West
1098,Redmond city,Washington,Small,Bike,359.0,1.2,0.5,WA,West
1099,Redondo Beach city,California,Small,Bike,482.0,1.3,0.5,CA,West
1100,Redwood City city,California,Small,Bike,642.0,1.7,0.6,CA,West
1101,Reedley city,California,Small,Bike,76.0,0.8,0.6,CA,West
1102,Renton city,Washington,Small,Bike,71.0,0.1,0.1,WA,West
1103,Revere city,Massachusetts,Small,Bike,27.0,0.1,0.1,MA,Northeast
1104,Rexburg city,Idaho,Small,Bike,486.0,4.5,1.6,ID,West
1105,Reynoldsburg city,Ohio,Small,Bike,18.0,0.1,0.2,OH,North Central
1106,Richfield city,Minnesota,Small,Bike,158.0,0.8,0.4,MN,North Central
1107,Richland city,Washington,Small,Bike,175.0,0.8,0.4,WA,West
1108,Richmond city,Indiana,Small,Bike,62.0,0.4,0.4,IN,North Central
1109,Richmond city,Kentucky,Small,Bike,278.0,1.9,1.4,KY,South
1110,Ridgecrest city,California,Small,Bike,195.0,1.6,0.8,CA,West
1111,Ridgeland city,Mississippi,Small,Bike,17.0,0.1,0.2,MS,South
1112,Ridgewood village,New Jersey,Small,Bike,11.0,0.1,0.2,NJ,Northeast
1113,Rio Rancho city,New Mexico,Small,Bike,153.0,0.4,0.2,NM,West
1114,Riverbank city,California,Small,Bike,8.0,0.1,0.2,CA,West
1115,Riverside city,Ohio,Small,Bike,0.0,0.0,0.3,OH,North Central
1116,Riverton city,Utah,Small,Bike,21.0,0.1,0.1,UT,West
1117,Riviera Beach city,Florida,Small,Bike,53.0,0.4,0.4,FL,South
1118,Roanoke city,Virginia,Small,Bike,72.0,0.2,0.1,VA,South
1119,Rochester city,New Hampshire,Small,Bike,1.0,0.0,0.1,NH,Northeast
1120,Rochester Hills city,Michigan,Small,Bike,122.0,0.3,0.2,MI,North Central
1121,Rock Hill city,South Carolina,Small,Bike,107.0,0.3,0.3,SC,South
1122,Rock Island city,Illinois,Small,Bike,93.0,0.5,0.4,IL,North Central
1123,Rock Springs city,Wyoming,Small,Bike,14.0,0.1,0.2,WY,West
1124,Rockledge city,Florida,Small,Bike,70.0,0.6,0.4,FL,South
1125,Rocklin city,California,Small,Bike,59.0,0.2,0.2,CA,West
1126,Rockville Centre village,New York,Small,Bike,7.0,0.1,0.1,NY,Northeast
1127,Rockville city,Maryland,Small,Bike,161.0,0.5,0.3,MD,South
1128,Rockwall city,Texas,Small,Bike,0.0,0.0,0.2,TX,South
1129,Rocky Mount city,North Carolina,Small,Bike,23.0,0.1,0.1,NC,South
1130,Rocky River city,Ohio,Small,Bike,16.0,0.2,0.3,OH,North Central
1131,Rogers city,Arkansas,Small,Bike,39.0,0.1,0.1,AR,South
1132,Rohnert Park city,California,Small,Bike,504.0,2.5,1.2,CA,West
1133,Rolling Meadows city,Illinois,Small,Bike,50.0,0.4,0.4,IL,North Central
1134,Rome city,Georgia,Small,Bike,154.0,1.1,0.7,GA,South
1135,Rome city,New York,Small,Bike,19.0,0.1,0.2,NY,Northeast
1136,Romeoville village,Illinois,Small,Bike,0.0,0.0,0.2,IL,North Central
1137,Romulus city,Michigan,Small,Bike,0.0,0.0,0.3,MI,North Central
1138,Roseburg city,Oregon,Small,Bike,280.0,3.4,1.8,OR,West
1139,Roselle borough,New Jersey,Small,Bike,18.0,0.2,0.2,NJ,Northeast
1140,Roselle village,Illinois,Small,Bike,14.0,0.1,0.2,IL,North Central
1141,Rosemead city,California,Small,Bike,193.0,0.8,0.5,CA,West
1142,Rosemount city,Minnesota,Small,Bike,16.0,0.1,0.2,MN,North Central
1143,Rosenberg city,Texas,Small,Bike,72.0,0.5,0.7,TX,South
1144,Roseville city,Michigan,Small,Bike,104.0,0.5,0.3,MI,North Central
1145,Roseville city,Minnesota,Small,Bike,301.0,1.8,0.7,MN,North Central
1146,Roswell city,Georgia,Small,Bike,31.0,0.1,0.1,GA,South
1147,Roswell city,New Mexico,Small,Bike,58.0,0.3,0.2,NM,West
1148,Round Lake Beach village,Illinois,Small,Bike,0.0,0.0,0.2,IL,North Central
1149,Rowlett city,Texas,Small,Bike,39.0,0.1,0.2,TX,South
1150,Roy city,Utah,Small,Bike,49.0,0.3,0.3,UT,West
1151,Royal Oak city,Michigan,Small,Bike,122.0,0.4,0.2,MI,North Central
1152,Royal Palm Beach village,Florida,Small,Bike,154.0,1.0,0.6,FL,South
1153,Russellville city,Arkansas,Small,Bike,70.0,0.5,0.5,AR,South
1154,Ruston city,Louisiana,Small,Bike,36.0,0.4,0.5,LA,South
1155,Saginaw city,Michigan,Small,Bike,98.0,0.6,0.6,MI,North Central
1156,Saginaw city,Texas,Small,Bike,13.0,0.1,0.2,TX,South
1157,Sahuarita town,Arizona,Small,Bike,9.0,0.1,0.1,AZ,West
1158,Salem city,Massachusetts,Small,Bike,155.0,0.7,0.4,MA,Northeast
1159,Salem city,Virginia,Small,Bike,34.0,0.3,0.3,VA,South
1160,Salina city,Kansas,Small,Bike,89.0,0.4,0.3,KS,North Central
1161,Salisbury city,Maryland,Small,Bike,97.0,0.8,0.6,MD,South
1162,Salisbury city,North Carolina,Small,Bike,83.0,0.7,0.5,NC,South
1163,Sammamish city,Washington,Small,Bike,69.0,0.3,0.2,WA,West
1164,San Angelo city,Texas,Small,Bike,122.0,0.3,0.2,TX,South
1165,San Benito city,Texas,Small,Bike,42.0,0.5,0.6,TX,South
1166,San Bruno city,California,Small,Bike,66.0,0.3,0.4,CA,West
1167,San Carlos city,California,Small,Bike,127.0,0.9,0.4,CA,West
1168,San Clemente city,California,Small,Bike,189.0,0.6,0.3,CA,West
1169,San Dimas city,California,Small,Bike,143.0,0.9,0.7,CA,West
1170,San Fernando city,California,Small,Bike,109.0,1.1,1.0,CA,West
1171,San Gabriel city,California,Small,Bike,158.0,0.9,0.4,CA,West
1172,San Jacinto city,California,Small,Bike,83.0,0.6,0.5,CA,West
1173,San Juan Capistrano city,California,Small,Bike,304.0,2.0,1.8,CA,West
1174,San Juan city,Texas,Small,Bike,19.0,0.2,0.3,TX,South
1175,San Leandro city,California,Small,Bike,201.0,0.5,0.2,CA,West
1176,San Luis city,Arizona,Small,Bike,24.0,0.4,0.6,AZ,West
1177,San Luis Obispo city,California,Small,Bike,1506.0,6.6,1.3,CA,West
1178,San Marcos city,California,Small,Bike,9.0,0.0,0.1,CA,West
1179,San Marcos city,Texas,Small,Bike,164.0,0.8,0.5,TX,South
1180,San Mateo city,California,Small,Bike,896.0,1.8,0.5,CA,West
1181,San Pablo city,California,Small,Bike,110.0,0.9,0.9,CA,West
1182,San Rafael city,California,Small,Bike,516.0,1.8,0.9,CA,West
1183,San Ramon city,California,Small,Bike,155.0,0.4,0.3,CA,West
1184,Sandusky city,Ohio,Small,Bike,106.0,1.0,0.6,OH,North Central
1185,Sandy city,Utah,Small,Bike,198.0,0.5,0.3,UT,West
1186,Sandy Springs city,Georgia,Small,Bike,10.0,0.0,0.1,GA,South
1187,Sanford city,Florida,Small,Bike,94.0,0.4,0.3,FL,South
1188,Sanford city,North Carolina,Small,Bike,22.0,0.2,0.2,NC,South
1189,Sanger city,California,Small,Bike,58.0,0.6,0.6,CA,West
1190,Santa Barbara city,California,Small,Bike,2650.0,5.8,1.1,CA,West
1191,Santa Cruz city,California,Small,Bike,2697.0,9.2,1.7,CA,West
1192,Santa Fe city,New Mexico,Small,Bike,516.0,1.6,0.5,NM,West
1193,Santa Monica city,California,Small,Bike,1514.0,3.1,0.6,CA,West
1194,Santa Paula city,California,Small,Bike,100.0,0.8,0.9,CA,West
1195,Santee city,California,Small,Bike,24.0,0.1,0.1,CA,West
1196,Sapulpa city,Oklahoma,Small,Bike,0.0,0.0,0.3,OK,South
1197,Sarasota city,Florida,Small,Bike,465.0,2.1,0.8,FL,South
1198,Saratoga city,California,Small,Bike,67.0,0.5,0.4,CA,West
1199,Saratoga Springs city,New York,Small,Bike,82.0,0.6,0.4,NY,Northeast
1200,Saratoga Springs city,Utah,Small,Bike,0.0,0.0,0.5,UT,West
1201,Savage city,Minnesota,Small,Bike,27.0,0.2,0.2,MN,North Central
1202,Sayreville borough,New Jersey,Small,Bike,14.0,0.1,0.1,NJ,Northeast
1203,Schaumburg village,Illinois,Small,Bike,90.0,0.2,0.2,IL,North Central
1204,Schenectady city,New York,Small,Bike,117.0,0.4,0.2,NY,Northeast
1205,Schererville town,Indiana,Small,Bike,65.0,0.4,0.6,IN,North Central
1206,Schertz city,Texas,Small,Bike,0.0,0.0,0.2,TX,South
1207,Scranton city,Pennsylvania,Small,Bike,75.0,0.2,0.1,PA,Northeast
1208,Seal Beach city,California,Small,Bike,82.0,0.9,0.4,CA,West
1209,Searcy city,Arkansas,Small,Bike,26.0,0.3,0.3,AR,South
1210,Seaside city,California,Small,Bike,218.0,1.4,0.7,CA,West
1211,SeaTac city,Washington,Small,Bike,48.0,0.4,0.4,WA,West
1212,Sebastian city,Florida,Small,Bike,15.0,0.2,0.3,FL,South
1213,Sedalia city,Missouri,Small,Bike,12.0,0.1,0.2,MO,North Central
1214,Seguin city,Texas,Small,Bike,71.0,0.7,0.5,TX,South
1215,Selma city,Alabama,Small,Bike,0.0,0.0,0.6,AL,South
1216,Selma city,California,Small,Bike,40.0,0.4,0.5,CA,West
1217,Shaker Heights city,Ohio,Small,Bike,69.0,0.5,0.3,OH,North Central
1218,Shakopee city,Minnesota,Small,Bike,32.0,0.2,0.2,MN,North Central
1219,Shawnee city,Kansas,Small,Bike,54.0,0.2,0.1,KS,North Central
1220,Shawnee city,Oklahoma,Small,Bike,39.0,0.3,0.2,OK,South
1221,Sheboygan city,Wisconsin,Small,Bike,262.0,1.1,0.5,WI,North Central
1222,Shelby city,North Carolina,Small,Bike,20.0,0.3,0.4,NC,South
1223,Shelbyville city,Tennessee,Small,Bike,0.0,0.0,0.5,TN,South
1224,Shelton city,Connecticut,Small,Bike,0.0,0.0,0.2,CT,Northeast
1225,Sherman city,Texas,Small,Bike,35.0,0.2,0.2,TX,South
1226,Sherwood city,Arkansas,Small,Bike,0.0,0.0,0.2,AR,South
1227,Shoreline city,Washington,Small,Bike,201.0,0.8,0.3,WA,West
1228,Shoreview city,Minnesota,Small,Bike,44.0,0.3,0.3,MN,North Central
1229,Sidney city,Ohio,Small,Bike,0.0,0.0,0.3,OH,North Central
1230,Sierra Vista city,Arizona,Small,Bike,101.0,0.5,0.4,AZ,West
1231,Sioux City city,Iowa,Small,Bike,35.0,0.1,0.1,IA,North Central
1232,Skokie village,Illinois,Small,Bike,151.0,0.5,0.4,IL,North Central
1233,Slidell city,Louisiana,Small,Bike,48.0,0.4,0.3,LA,South
1234,Smyrna city,Georgia,Small,Bike,0.0,0.0,0.1,GA,South
1235,Smyrna town,Tennessee,Small,Bike,85.0,0.4,0.6,TN,South
1236,Socorro city,Texas,Small,Bike,32.0,0.3,0.3,TX,South
1237,Soledad city,California,Small,Bike,0.0,0.0,0.6,CA,West
1238,Solon city,Ohio,Small,Bike,0.0,0.0,0.3,OH,North Central
1239,Somerville city,Massachusetts,Small,Bike,2048.0,4.5,0.7,MA,Northeast
1240,South El Monte city,California,Small,Bike,57.0,0.7,0.5,CA,West
1241,South Elgin village,Illinois,Small,Bike,0.0,0.0,0.3,IL,North Central
1242,South Euclid city,Ohio,Small,Bike,67.0,0.6,0.4,OH,North Central
1243,South Gate city,California,Small,Bike,171.0,0.5,0.2,CA,West
1244,South Holland village,Illinois,Small,Bike,0.0,0.0,0.3,IL,North Central
1245,South Jordan city,Utah,Small,Bike,59.0,0.3,0.2,UT,West
1246,South Lake Tahoe city,California,Small,Bike,348.0,3.3,1.3,CA,West
1247,South Milwaukee city,Wisconsin,Small,Bike,34.0,0.3,0.3,WI,North Central
1248,South Pasadena city,California,Small,Bike,110.0,0.8,0.8,CA,West
1249,South Plainfield borough,New Jersey,Small,Bike,35.0,0.3,0.4,NJ,Northeast
1250,South Portland city,Maine,Small,Bike,149.0,1.1,0.6,ME,Northeast
